report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents,stock_id
2022-03-31 00:00:00+00:00,703000000.0,165055000000.0,173270000000.0,8281000000.0,3923000000.0,32.0
2023-03-31 00:00:00+00:00,5070000000.0,194600000000.0,215990000000.0,21460000000.0,2180000000.0,32.0
2024-03-31 00:00:00+00:00,7490000000.0,204130000000.0,233560000000.0,29500000000.0,3090000000.0,32.0
2025-03-31 00:00:00+00:00,20450000000.0,303170000000.0,356230000000.0,53130000000.0,6660000000.0,32.0
