report_date,Total Debt,Total Liabilities Net Minority Interest,Total Assets,Stockholders Equity,Cash And Cash Equivalents
2022-03-31,8709100000.0,51562300000.0,88814900000.0,30710800000.0,4112100000.0
2023-03-31,11260700000.0,53322700000.0,102877100000.0,39505700000.0,8428000000.0
2024-03-31,21038100000.0,64346900000.0,131794000000.0,50996800000.0,5359300000.0
2025-03-31,30974600000.0,82721800000.0,159644800000.0,55357300000.0,6563800000.0
