report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents,stock_id
2022-03-31 00:00:00+00:00,15868400000.0,138115600000.0,229844500000.0,87853600000.0,6217200000.0,9.0
2023-03-31 00:00:00+00:00,19326200000.0,159922300000.0,257980000000.0,93521100000.0,5231000000.0,9.0
2024-03-31 00:00:00+00:00,24743800000.0,187283000000.0,299240900000.0,105004100000.0,8293400000.0,9.0
2025-03-31 00:00:00+00:00,22902900000.0,193998100000.0,303713700000.0,103123200000.0,4452800000.0,9.0
