report_date,Total Debt,Total Liabilities Net Minority Interest,Total Assets,Stockholders Equity,Cash And Cash Equivalents
2022-03-31,91215400000.0,187118900000.0,196679700000.0,9275900000.0,6968600000.0
2023-03-31,85766400000.0,190040200000.0,205526200000.0,15182600000.0,10044800000.0
2024-03-31,112631700000.0,227710500000.0,245613400000.0,17864100000.0,7320500000.0
2025-03-31,123573200000.0,235603000000.0,265845800000.0,30211700000.0,5339000000.0
