report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents
2022-03-31,,,,,
2023-03-31,9500000000.0,129931414000.0,2480692516000.0,2350761102000.0,19036324000.0
2024-03-31,9500000000.0,146663400000.0,3026869500000.0,2880206100000.0,21782800000.0
2025-03-31,29500000000.0,161546200000.0,3494115800000.0,3332569600000.0,22756600000.0
2026-03-31,30990000000.0,177495400000.0,3905024800000.0,3727529400000.0,19902300000.0
