report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents,stock_id
2022-03-31,1095261078000.0,918680841000.0,13401370875000.0,12475112233000.0,1302285962000.0,17
2023-03-31,1054811554000.0,1050547168000.0,15258789729000.0,14198296660000.0,1023733888000.0,17
2024-03-31,930891013000.0,1197122413000.0,16547793845000.0,15340492306000.0,1002898458000.0,17
2025-03-31,1058127678000.0,1465027153000.0,18617740775000.0,17140238011000.0,1324777325000.0,17
