report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents,stock_id
2022-03-31,78180000000.0,891390000000.0,1415140000000.0,516680000000.0,124560000000.0,86
2023-03-31,76880000000.0,904240000000.0,1436510000000.0,524450000000.0,71150000000.0,86
2024-03-31,80210000000.0,904890000000.0,1464490000000.0,551300000000.0,90070000000.0,86
2025-03-31,93920000000.0,947560000000.0,1596290000000.0,638580000000.0,83310000000.0,86
