report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents
2022-03-31 00:00:00+00:00,1320195900000.0,1335351800000.0,4106248500000.0,2754982000000.0,11765900000.0
2023-03-31 00:00:00+00:00,1489770800000.0,1397202400000.0,4417184800000.0,2985041400000.0,9963500000.0
2024-03-31 00:00:00+00:00,1326275600000.0,1834162700000.0,4823620000000.0,2941990200000.0,12465900000.0
2025-03-31 00:00:00+00:00,1522707000000.0,1864873200000.0,5068670500000.0,3158423900000.0,6731700000.0
