report_date,Total Debt,Total Liabilities Net Minority Interest,Total Assets,Stockholders Equity,Cash And Cash Equivalents
2022-03-31,456800000.0,11515100000.0,49958700000.0,38443600000.0,5188700000.0
2023-03-31,511700000.0,12921000000.0,56942200000.0,44021200000.0,7379600000.0
2024-03-31,550600000.0,14468800000.0,65557100000.0,51088300000.0,11785100000.0
2025-03-31,758000000.0,15073800000.0,71678200000.0,56604400000.0,9441200000.0
