report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents
2022-03-31 00:00:00+00:00,2819740000000.0,7794850000000.0,14996650000000.0,6106810000000.0,335090000000.0
2023-03-31 00:00:00+00:00,3343920000000.0,7158720000000.0,16074310000000.0,7785500000000.0,341560000000.0
2024-03-31 00:00:00+00:00,3461420000000.0,7934810000000.0,17559860000000.0,8301980000000.0,935400000000.0
2025-03-31 00:00:00+00:00,3695750000000.0,8432000000000.0,19501210000000.0,9404930000000.0,1006450000000.0
