report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents
2022-03-31 00:00:00+00:00,368778370000.0,-59880620000.0,459625980000.0,519506600000.0,10152780000.0
2023-03-31 00:00:00+00:00,448542130000.0,-62465160000.0,591698190000.0,654163350000.0,12679180000.0
2024-03-31 00:00:00+00:00,512801000000.0,19965000000.0,822245000000.0,802280000000.0,6952000000.0
2025-03-31 00:00:00+00:00,668098000000.0,93682000000.0,1158435000000.0,1064753000000.0,10731000000.0
