report_date,Total Debt,Total Liabilities Net Minority Interest,Total Assets,Stockholders Equity,Cash And Cash Equivalents
2022-03-31,3608300000.0,42086900000.0,97463300000.0,54995600000.0,5589000000.0
2023-03-31,6505800000.0,47852900000.0,102790100000.0,54520700000.0,6927200000.0
2024-03-31,7436300000.0,61815100000.0,120357200000.0,58205000000.0,8153000000.0
2025-03-31,8919700000.0,66117200000.0,131520200000.0,65132500000.0,6497900000.0
