report_date,Total Debt,Total Liabilities Net Minority Interest,Total Assets,Stockholders Equity,Cash And Cash Equivalents
2022-03-31,260959500000.0,396886400000.0,775664700000.0,349689800000.0,13155400000.0
2023-03-31,295398400000.0,433785400000.0,852077000000.0,369552900000.0,10341900000.0
2024-03-31,345780000000.0,484063200000.0,922648800000.0,386685900000.0,13797400000.0
2025-03-31,415739800000.0,575146500000.0,1026777100000.0,396681600000.0,7608500000.0
