report_date,Total Debt,Total Liabilities Net Minority Interest,Total Assets,Stockholders Equity,Cash And Cash Equivalents
2022-03-31,39620210000.0,76451680000.0,170832880000.0,90866470000.0,14105260000.0
2023-03-31,46078810000.0,95324170000.0,193716760000.0,94739230000.0,11592030000.0
2024-03-31,12309300000.0,65110770000.0,143586240000.0,78479270000.0,16582700000.0
2025-03-31,24726670000.0,72004840000.0,160495540000.0,88494410000.0,16757070000.0
