report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents,stock_id
2022-03-31 00:00:00+00:00,36900000.0,117281800000.0,133747100000.0,16465300000.0,12147600000.0,29.0
2023-03-31 00:00:00+00:00,40000000.0,127670000000.0,144390000000.0,16720000000.0,1700000000.0,29.0
2024-03-31 00:00:00+00:00,30000000.0,135710000000.0,154700000000.0,18990000000.0,3630000000.0,29.0
2025-03-31 00:00:00+00:00,40000000.0,149690000000.0,169320000000.0,19630000000.0,4150000000.0,29.0
