report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents,stock_id
2022-03-31 00:00:00+00:00,63430000000.0,619140000000.0,890330000000.0,270270000000.0,105020000000.0,36.0
2023-03-31 00:00:00+00:00,47860000000.0,654050000000.0,934110000000.0,280130000000.0,90570000000.0,36.0
2024-03-31 00:00:00+00:00,57560000000.0,682630000000.0,997770000000.0,315060000000.0,94410000000.0,36.0
2025-03-31 00:00:00+00:00,62790000000.0,696550000000.0,1055440000000.0,358710000000.0,82260000000.0,36.0
