report_date,Total Debt,Total Liabilities Net Minority Interest,Total Assets,Stockholders Equity,Cash And Cash Equivalents
2022-03-31,41583800000.0,95992400000.0,218212200000.0,121532700000.0,10899200000.0
2023-03-31,45415200000.0,104131100000.0,229559300000.0,124645000000.0,12778200000.0
2024-03-31,29217700000.0,96237300000.0,239971800000.0,142902900000.0,11876000000.0
2025-03-31,54477700000.0,119105300000.0,292048800000.0,172035000000.0,19307800000.0
