report_date,Total Debt,Total Liabilities Net Minority Interest,Total Assets,Stockholders Equity,Cash And Cash Equivalents
2022-03-31,200000.0,33956900000.0,61854000000.0,26545200000.0,794000000.0
2023-03-31,200000.0,31648200000.0,59938100000.0,27011500000.0,138300000.0
2024-03-31,200000.0,59955700000.0,94502300000.0,33022900000.0,555900000.0
2025-03-31,32600000.0,57659500000.0,103416500000.0,44237300000.0,240100000.0
