report_date,Total Debt,Total Liabilities Net Minority Interest,Total Assets,Stockholders Equity,Cash And Cash Equivalents
2022-03-31,8730750000.0,28314320000.0,91477400000.0,61552290000.0,3025340000.0
2023-03-31,1703709000.0,20921562000.0,97154491000.0,74352228000.0,3048207000.0
2024-03-31,2071700000.0,23874600000.0,119632500000.0,93630900000.0,3820100000.0
2025-03-31,85114500000.0,131913500000.0,277595300000.0,143323900000.0,4073600000.0
