report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents,stock_id
2022-03-31,370361999000.0,708611250000.0,11937656099000.0,11229044849000.0,1197582209000.0,106
2023-03-31,293545947000.0,788035140000.0,12883571094000.0,12095535954000.0,1125988641000.0,106
2024-03-31,269742680000.0,975976560000.0,14019959109000.0,13043982549000.0,1196458454000.0,106
2025-03-31,274897937000.0,1138340782000.0,15113294233000.0,13974953451000.0,1316837325000.0,106
