report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents,stock_id
2022-03-31 00:00:00+00:00,1816761600000.0,1182606600000.0,11957791500000.0,10772571400000.0,1539971200000.0,11.0
2023-03-31 00:00:00+00:00,1984445700000.0,1297817100000.0,13444179600000.0,12142428600000.0,1392721300000.0,11.0
2024-03-31 00:00:00+00:00,2281995500000.0,1570235200000.0,15182385300000.0,13607155700000.0,1380502800000.0,11.0
2025-03-31 00:00:00+00:00,2206867500000.0,1872354900000.0,16569626100000.0,14690919900000.0,1171491700000.0,11.0
