report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents
2022-03-31 00:00:00+00:00,4158300000.0,64037100000.0,95156200000.0,29130100000.0,3520700000.0
2023-03-31 00:00:00+00:00,3906100000.0,72122800000.0,105250200000.0,30791000000.0,3101600000.0
2024-03-31 00:00:00+00:00,3824700000.0,84071600000.0,121039500000.0,34869400000.0,5151400000.0
2025-03-31 00:00:00+00:00,4541400000.0,97544600000.0,140114700000.0,40537100000.0,3239400000.0
