report_date,Total Debt,Total Liabilities Net Minority Interest,Total Assets,Stockholders Equity,Cash And Cash Equivalents
2022-03-31,51466000000.0,109240000000.0,203940000000.0,84325000000.0,6626000000.0
2023-03-31,180188000000.0,295540000000.0,520428000000.0,178669000000.0,13232000000.0
2024-03-31,162767000000.0,307959000000.0,560707000000.0,197837000000.0,12334000000.0
2025-03-31,183620000000.0,310848000000.0,587973000000.0,216440000000.0,32267000000.0
