report_date,Total Debt,Stockholders Equity,Total Assets,Total Liabilities Net Minority Interest,Cash And Cash Equivalents,stock_id
2021-12-31 00:00:00+00:00,,,,,,97.0
2022-12-31 00:00:00+00:00,38838140000.0,51023800000.0,116182430000.0,64027560000.0,1543320000.0,97.0
2023-12-31 00:00:00+00:00,54313100000.0,69364980000.0,151871830000.0,81025300000.0,2422120000.0,97.0
2024-12-31 00:00:00+00:00,28262540000.0,166098290000.0,231439100000.0,64042740000.0,2607810000.0,97.0
2025-12-31 00:00:00+00:00,25081830000.0,195787040000.0,255651560000.0,58242010000.0,17841770000.0,97.0
