report_date,Total Debt,Total Liabilities Net Minority Interest,Total Assets,Stockholders Equity,Cash And Cash Equivalents
2022-03-31,232413666000.0,6794827732000.0,7346140123000.0,551312391000.0,915576389000.0
2023-03-31,623232251000.0,7654462948000.0,8260357498000.0,604329415000.0,846832788000.0
2024-03-31,664602697000.0,8535382901000.0,9242803540000.0,705812546000.0,831229621000.0
2025-03-31,938694557000.0,9755376827000.0,10564250062000.0,807257547000.0,1008371678000.0
