report_date,Total Debt,Total Liabilities Net Minority Interest,Total Assets,Stockholders Equity,Cash And Cash Equivalents
2022-03-31,2259100000.0,26870600000.0,37673500000.0,10802900000.0,708000000.0
2023-03-31,2733300000.0,26067500000.0,36794600000.0,10727100000.0,446700000.0
2024-03-31,418200000.0,23414500000.0,35843900000.0,12429400000.0,1319400000.0
2025-03-31,345600000.0,28879700000.0,46610800000.0,17731100000.0,4711900000.0
