report_date,Total Debt,Total Liabilities Net Minority Interest,Total Assets,Stockholders Equity,Cash And Cash Equivalents
2022-03-31,6669000000.0,32798400000.0,42771700000.0,9967800000.0,1761700000.0
2023-03-31,4530900000.0,33948000000.0,46794300000.0,12849100000.0,2145600000.0
2024-03-31,4889800000.0,52689900000.0,69914500000.0,16948500000.0,1980000000.0
2025-03-31,6709600000.0,132975400000.0,167668700000.0,30102000000.0,2283800000.0
