ticker,company_name,sector,industry,market_cap,country,exchange,yahoo_ticker,stock_id,is_active
PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty,Realty,Large Cap,India,NSE,PHOENIXLTD.NS,179,True
POLYCAB.NS,Polycab India Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,POLYCAB.NS,180,True
PREMIERENE.NS,Premier Energies Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,PREMIERENE.NS,181,True
PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty,Realty,Large Cap,India,NSE,PRESTIGE.NS,182,True
RADICO.NS,Radico Khaitan Ltd,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Large Cap,India,NSE,RADICO.NS,183,True
RVNL.NS,Rail Vikas Nigam Ltd.,Construction,Construction,Large Cap,India,NSE,RVNL.NS,184,True
SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,SBICARD.NS,185,True
SRF.NS,SRF Ltd.,Chemicals,Chemicals,Large Cap,India,NSE,SRF.NS,186,True
SAIL.NS,Steel Authority of India Ltd.,Metals & Mining,Metals & Mining,Large Cap,India,NSE,SAIL.NS,187,True
SUPREMEIND.NS,Supreme Industries Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,SUPREMEIND.NS,188,True
SUZLON.NS,Suzlon Energy Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,SUZLON.NS,189,True
SWIGGY.NS,Swiggy Ltd.,Consumer Services,Consumer Services,Large Cap,India,NSE,SWIGGY.NS,190,True
TATACOMM.NS,Tata Communications Ltd.,Telecommunication,Telecommunication,Large Cap,India,NSE,TATACOMM.NS,191,True
TATAELXSI.NS,Tata Elxsi Ltd.,Information Technology,Information Technology,Large Cap,India,NSE,TATAELXSI.NS,192,True
TATAINVEST.NS,Tata Investment Corporation Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,TATAINVEST.NS,193,True
TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components,Automobile and Auto Components,Large Cap,India,NSE,TIINDIA.NS,194,True
UPL.NS,UPL Ltd.,Chemicals,Chemicals,Large Cap,India,NSE,UPL.NS,195,True
VMM.NS,Vishal Mega Mart Ltd.,Consumer Services,Consumer Services,Large Cap,India,NSE,VMM.NS,196,True
IDEA.NS,Vodafone Idea Ltd.,Telecommunication,Telecommunication,Large Cap,India,NSE,IDEA.NS,197,True
VOLTAS.NS,Voltas Ltd.,Consumer Durables,Consumer Durables,Large Cap,India,NSE,VOLTAS.NS,198,True
WAAREEENER.NS,Waaree Energies Ltd.,Capital Goods,Capital Goods,Large Cap,India,NSE,WAAREEENER.NS,199,True
YESBANK.NS,Yes Bank Ltd.,Financial Services,Financial Services,Large Cap,India,NSE,YESBANK.NS,200,True
