Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock_id
2025-04-08 00:00:00+05:30,1396.2641967022084,1423.8233205786614,1396.2641967022084,1410.2169189453125,562645,0.0,0.0,96
2025-04-09 00:00:00+05:30,1419.3703359895396,1440.7447321457178,1410.6127851583487,1436.440185546875,886893,0.0,0.0,96
2025-04-11 00:00:00+05:30,1468.5017788179207,1468.5017788179207,1439.6067786580186,1461.4759521484375,693426,0.0,0.0,96
2025-04-15 00:00:00+05:30,1534.2084424506693,1534.6042892151022,1465.1373495009325,1486.0169677734375,797044,0.0,0.0,96
2025-04-16 00:00:00+05:30,1498.8811199804966,1498.8811199804966,1468.1059382677413,1487.501220703125,739318,0.0,0.0,96
2025-04-17 00:00:00+05:30,1496.110445230079,1510.5579454757983,1484.532562099627,1501.9488525390625,569237,0.0,0.0,96
2025-04-21 00:00:00+05:30,1522.7296476696813,1522.7296476696813,1489.2825883961489,1500.8603515625,528024,0.0,0.0,96
2025-04-22 00:00:00+05:30,1508.7768174293071,1543.708211822717,1500.8603650609855,1541.333251953125,823672,0.0,0.0,96
2025-04-23 00:00:00+05:30,1543.7081645217982,1568.842924180158,1527.380482012433,1563.8951416015625,1385393,0.0,0.0,96
2025-04-24 00:00:00+05:30,1568.447097600092,1592.394317270497,1540.442599526645,1544.4998779296875,1320677,0.0,0.0,96
2025-04-25 00:00:00+05:30,1549.1506945125395,1557.5619247286727,1514.318354170976,1531.23974609375,517429,0.0,0.0,96
2025-04-28 00:00:00+05:30,1516.9899984056983,1544.0049371064506,1511.0526598600795,1540.343505859375,604732,0.0,0.0,96
2025-04-29 00:00:00+05:30,1543.8070246492107,1548.556944023279,1518.8702499240228,1529.75537109375,560975,0.0,0.0,96
2025-04-30 00:00:00+05:30,1520.0576647132757,1552.6140966348198,1520.0576647132757,1547.5673828125,705329,0.0,0.0,96
2025-05-02 00:00:00+05:30,1547.5673708365105,1558.6503548623275,1534.8020683526274,1539.35400390625,931415,0.0,0.0,96
2025-05-05 00:00:00+05:30,1549.1506906004136,1554.8901665809988,1537.276012678213,1542.8175048828125,247436,0.0,0.0,96
2025-05-06 00:00:00+05:30,1542.8174470967294,1571.4156528473134,1534.307285730327,1559.837890625,898145,0.0,0.0,96
2025-05-07 00:00:00+05:30,1598.133714645304,1599.1232711249606,1521.5420189607946,1572.9000244140625,2290058,0.0,0.0,96
2025-05-08 00:00:00+05:30,1572.9000947529937,1577.0561838352207,1516.099526121535,1521.146240234375,715376,0.0,0.0,96
2025-05-09 00:00:00+05:30,1509.172591822455,1528.172149072438,1482.8504131193702,1515.2088623046875,991191,0.0,0.0,96
