Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock_id
2025-04-21,2520.0785558928483,2532.605596112708,2484.8463896745407,2489.73974609375,277896,0.0,0.0,120
2025-04-22,2491.697137812091,2617.1627510888434,2480.0510448780124,2602.09130859375,747000,0.0,0.0,120
2025-04-23,2602.287092147782,2656.114015828913,2594.4577214305264,2631.255859375,713125,0.0,0.0,120
2025-04-24,2618.7289405428255,2685.4742812328423,2605.8105260437005,2673.730224609375,712805,0.0,0.0,120
2025-04-25,2673.7301881346957,2677.546910911878,2593.9684713217466,2614.422607421875,437084,0.0,0.0,120
2025-04-28,2611.094996027788,2644.8591554591817,2581.049835276971,2637.02978515625,391090,0.0,0.0,120
2025-04-29,2624.796559170125,2640.4553007609984,2582.3223181782555,2587.802734375,556023,0.0,0.0,120
2025-04-30,2587.8026908269567,2596.7086955302675,2519.1979737464976,2532.214111328125,570830,0.0,0.0,120
2025-05-02,2515.1854035457914,2524.7764306923036,2477.017220379143,2483.867919921875,596450,0.0,0.0,120
2025-05-05,2494.633317734166,2572.9270271962037,2494.633317734166,2565.09765625,479629,0.0,0.0,120
2025-05-06,2554.332255714543,2582.7137252224825,2535.737499830031,2565.489013671875,345419,0.0,0.0,120
2025-05-07,2550.417489356375,2590.3473274599223,2518.1213354236197,2578.603271484375,438715,0.0,0.0,120
2025-05-08,2578.5053351951447,2583.594378383334,2475.5491578747265,2496.19921875,555347,0.0,0.0,120
2025-05-09,2446.678175082092,2500.3094084665745,2441.4911695642345,2496.10107421875,254167,0.0,0.0,120
2025-05-12,2526.9294258245727,2569.4036668432927,2522.036069074332,2555.898193359375,333871,0.0,0.0,120
2025-05-13,2555.898066676302,2578.5052303818316,2536.618050889217,2543.46875,226099,0.0,0.0,120
2025-05-14,2541.8051873154504,2559.2255851655973,2515.2833370395697,2552.17919921875,300928,0.0,0.0,120
2025-05-15,2552.17930116539,2603.2658999874775,2540.141595269736,2598.763916015625,283082,0.0,0.0,120
2025-05-16,2604.244455506126,2640.455295360965,2561.6722518930046,2632.332275390625,455396,0.0,0.0,120
2025-05-19,2642.412516351074,2688.8014405092013,2616.9670624899154,2653.667236328125,324331,0.0,0.0,120
2025-05-20,2660.0287368029517,2660.0287368029517,2569.5016366726086,2573.318359375,403620,0.0,0.0,120
